LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime
56591,300082,True,38.41985411,-122.5564435,434.0,647.0,108.0,24,213.0,326.0
113390,244491,True,38.41959222,-122.5561298,-1.0,-1.0,48.0,24,189.0,-1.0
524949,969034,False,38.41934832,-122.5558376,453.0,713.0,50.0,24,260.0,403.0
385992,578988,False,38.41870067,-122.5590275,31.0,986.0,31.0,22,955.0,0.0
1182162,1501362,False,38.40827926,-122.5607508,404.0,587.0,23.0,7,183.0,381.0
601863,111345,False,38.40960553,-122.5602122,950.0,1373.0,146.0,11,423.0,804.0
1122000,204000,False,38.40715947,-122.5607459,-1.0,-1.0,-1.0,7,1575.0,-1.0
561088,86700,True,38.40371009,-122.5626758,925.0,1190.0,66.0,7,265.0,859.0
601800,20400,False,38.42070441,-122.5563837,-1.0,-1.0,324.0,25,1338.0,-1.0
693091,1040657,False,38.42105855,-122.5558941,454.0,939.0,95.0,24,485.0,359.0
489583,620678,True,38.42143811,-122.5554209,475.0,708.0,83.0,24,233.0,392.0
196317,291299,False,38.42189402,-122.5544515,784.0,1130.0,70.0,25,346.0,714.0
271634,603920,False,38.4215396,-122.5540886,583.0,1004.0,159.0,24,421.0,424.0
43523,152390,True,38.42052351,-122.5551144,139.0,483.0,-1.0,25,344.0,312.0
69680,217087,True,38.43082664,-122.5545943,502.0,771.0,49.0,10,269.0,453.0
102568,291444,True,38.43118845,-122.5544786,581.0,923.0,114.0,10,342.0,467.0
40743,139928,True,38.42624079,-122.5531603,200.0,724.0,30.0,23,524.0,170.0
39952,209153,True,38.42554281,-122.5537461,609.0,1025.0,200.0,23,416.0,409.0
478244,285668,False,38.42520615,-122.5529747,805.0,1158.0,227.0,25,353.0,578.0
736855,15458,False,38.42694135,-122.5529357,-1.0,-1.0,-1.0,22,1142.0,-1.0
133341,10055,False,38.42979281,-122.5553138,-1.0,-1.0,271.0,11,423.0,-1.0
1066303,888696,True,38.4281045,-122.5589833,640.0,965.0,103.0,17,325.0,537.0
117132,176474,False,38.43233139,-122.5502456,323.0,1290.0,90.0,9,967.0,233.0
216438,875186,False,38.42676293,-122.5518218,728.0,982.0,111.0,22,254.0,617.0
