BuildingID,NoStories,FlArea,NoUnits,ConstYear,BuildVal,PermitDesc,PermitType,DateEvent,DateApplied,CheckDate,DateRecvd,DateFinaled,DateExpired,TimetoApply,RepairTime,TimetoFinal,,
688,0,7840.8,NULL,NULL,436366,500 THROUGH 512 EXTERIOR PLASTER REPAIR TO MATCH EXISTING R,NULL,8/24/14,9/19/14,TRUE,9/29/14,10/16/14,NULL,26,27,53,,
693,0,2641,1,1890,1179137,FOUNDATION REPLACEMENT; LOWER BASEMENT TO 8 FT,FOUNDATION,8/24/14,39947,FALSE,40070,3/17/15,NULL,12,193,205,,
695,0,1472,1,1905,128048,REPAIR CRIPPLE WALLS PER ENGINEERED PLANS,MINOR BUILDING,8/24/14,39947,FALSE,10/14/14,1/22/15,NULL,12,139,151,,
698,0,1845,1,1975,790640,CHIMNEY REBUILD - 2 CHIMNEYS,FIREPLACE,8/24/14,39947,FALSE,37605,3/25/15,NULL,12,201,213,,
702,0,2065,1,1972,220319,REBUILD FIREPLACE AT THE ROOF LINE; MASONRY,FIREPLACE,8/24/14,9/29/14,TRUE,10/21/14,10/30/14,NULL,36,31,67,,
706,0,2012,1,1969,1257086,RECONSTRUCT MASONARY CHIMNEY PER CITY OF NAPA HANDOUT,FIREPLACE,8/24/14,9/23/14,TRUE,10/14/14,10/17/14,NULL,30,24,54,,
707,0,17859.6,NULL,1969,302669,RECONSTRUCT MASONARY CHIMNEY PER CITY OF NAPA HANDOUT,NULL,8/24/14,39947,FALSE,10/14/14,10/17/14,NULL,12,42,54,,
714,0,1509,1,1955,497396,DEMO CHIMNEY REPAIR ROOF CAP & SEAL FIREPLACE,FIREPLACE,8/24/14,9/23/14,TRUE,9/23/14,10/20/14,NULL,30,27,57,,
723,0,1767,1,1934,84146,REPAIR EXTERNAL CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,5/19/15,7/13/15,NULL,12,311,323,,
744,0,2476,1,1895,1689800,REBUILD CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,39947,10/17/14,NULL,12,42,54,,
752,0,2424,1,1940,102404,NULL,NULL,8/24/14,39947,FALSE,40617,11/19/15,NULL,12,440,452,,
759,0,1052,1,1932,529249,REMOVE CHIMNEY AND REBUILD,FIREPLACE,8/24/14,39947,FALSE,38001,9/18/15,NULL,12,378,390,,
760,0,936,1,1900,107606,REPLACE FOUNDATION,FOUNDATION,8/24/14,39947,FALSE,37026,10/13/15,NULL,12,403,415,,
764,0,1168,1,1920,37673,REPLACE EXISTING FOUNDATION / REPIPE CONNECTIONS,FOUNDATION,8/24/14,39947,FALSE,40223,5/15/15,NULL,12,252,264,,
765,0,1052,1,1912,273529,DEMO 250 SQ FT) OUT BUILDING; AND OTHER PIPE STRUCTURES,DRYROT TERMITE,8/24/14,39947,FALSE,10/22/14,12/23/14,NULL,12,109,121,,
