LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
138610,235307,True,38.52396188,-122.7171841,658.0,1016.0,219.0,55,358.0,439.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
179579,265551,False,38.52315827,-122.7155765,1242.0,1423.0,24.0,56,181.0,1218.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Custom,271167.0
425990,196063,True,38.5248709,-122.7153918,425.0,659.0,46.0,42,234.0,379.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
557758,649044,False,38.52108525,-122.7083072,1044.0,1163.0,190.0,50,119.0,854.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
41356,61824,True,38.5237715,-122.7066868,947.0,1310.0,71.0,32,363.0,876.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Custom,271167.0
25387,151960,True,38.52429275,-122.707682,531.0,1275.0,55.0,36,744.0,476.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
216438,490111,True,38.52872973,-122.7035459,702.0,1248.0,79.0,15,546.0,623.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
362179,599171,True,38.52765491,-122.7035278,638.0,994.0,143.0,16,356.0,495.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
85368,375649,True,38.5247584,-122.7049347,675.0,1147.0,126.0,26,472.0,549.0,1,1.1582019848219498,1960,Post1940,RES1,2,False,1700,Custom,278715.0
93821,56077,True,38.52413843,-122.7053428,627.0,1250.0,105.0,28,623.0,522.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
258526,66182,True,38.52441696,-122.7062938,-1.0,-1.0,54.0,27,723.0,-1.0,1,1.1582019848219498,1950,Post1940,RES1,1,True,1275,Average,159196.5
807807,275833,True,38.52280997,-122.7071931,426.0,883.0,60.0,35,457.0,366.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
334654,562221,False,38.52273379,-122.702092,797.0,1099.0,289.0,21,302.0,508.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
203576,305368,True,38.52377051,-122.704614,624.0,877.0,84.0,26,253.0,540.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
289665,441747,True,38.51944649,-122.7102064,362.0,659.0,67.0,59,297.0,295.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
158499,271383,True,38.5181168,-122.7114611,547.0,876.0,129.0,70,329.0,418.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
256255,611785,False,38.52081416,-122.7128685,-1.0,-1.0,24.0,62,199.0,-1.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
348025,422997,True,38.5213988,-122.7109808,344.0,709.0,141.0,55,365.0,203.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
259907,182046,False,38.51934204,-122.7155317,546.0,962.0,263.0,77,416.0,283.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
26080,133347,True,38.52000994,-122.715473,444.0,829.0,289.0,75,385.0,155.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
21048,107075,True,38.52004423,-122.7160751,324.0,688.0,41.0,77,364.0,283.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Custom,271167.0
17309,167481,True,38.51634479,-122.7154403,-1.0,-1.0,-1.0,85,119.0,-1.0,1,1.1582019848219498,1940,Post1940,RES1,1,True,1275,Average,159196.5
362179,777109,True,38.51602256,-122.7141934,484.0,869.0,91.0,83,385.0,393.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
39177,225220,True,38.51726754,-122.7157008,332.0,590.0,73.0,85,258.0,259.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
20786,216471,True,38.51679844,-122.7154063,277.0,615.0,43.0,85,338.0,234.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Custom,278715.0
404188,424065,False,38.51844278,-122.7125682,263.0,854.0,87.0,70,591.0,176.0,1,1.1582019848219498,1960,Post1940,RES1,2,False,1700,Custom,278715.0
117233,240073,True,38.51800268,-122.7144991,685.0,1042.0,121.0,83,357.0,564.0,1,1.1582019848219498,1960,Post1940,RES1,3,False,1700,Average,217498.0
17309,142186,True,38.51658592,-122.7131839,372.0,619.0,39.0,79,247.0,333.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
16616,84940,True,38.51691171,-122.7144019,261.0,505.0,57.0,86,244.0,204.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
272957,701299,True,38.51752766,-122.7122379,514.0,720.0,147.0,77,206.0,367.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
123775,336965,True,38.5063598,-122.7317609,826.0,927.0,117.0,25,101.0,709.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
501981,373698,False,38.50598043,-122.7313456,731.0,1095.0,300.0,23,364.0,431.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
272957,409447,False,38.50944528,-122.7188969,385.0,1091.0,85.0,53,706.0,300.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
352085,752334,True,38.50480097,-122.7277941,-1.0,-1.0,70.0,17,365.0,-1.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
580862,1055474,True,38.51243818,-122.7305145,719.0,918.0,112.0,20,199.0,607.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
769643,812570,False,38.51165335,-122.7305885,951.0,1220.0,103.0,19,269.0,848.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
420470,1681885,False,38.50805214,-122.723984,382.0,570.0,148.0,35,188.0,234.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
272272,589560,False,38.5167116,-122.7207603,574.0,1211.0,205.0,65,637.0,369.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
283129,641884,False,38.51142946,-122.7223646,478.0,759.0,212.0,47,281.0,266.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
10398,98145,True,38.51261719,-122.7208167,272.0,567.0,62.0,57,295.0,210.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
22625,181371,True,38.5129246,-122.7213766,-1.0,-1.0,103.0,55,289.0,-1.0,1,1.1582019848219498,1960,Post1940,RES1,2,True,1275,Average,163215.9375
225000,550000,True,38.51603293,-122.721236,872.0,1133.0,41.0,62,261.0,831.0,1,1.1582019848219498,1950,Post1940,RES1,1,True,1275,Average,159196.5
15231,123379,False,38.51733193,-122.7216378,1014.0,1441.0,50.0,63,427.0,964.0,1,1.1582019848219498,1960,Post1940,RES1,1,True,1275,Average,159196.5
280500,298503,False,38.51432883,-122.7221751,-1.0,-1.0,189.0,58,346.0,-1.0,1,1.1582019848219498,1960,Post1940,RES1,2,False,1700,Average,208675.0
17309,157216,True,38.51543378,-122.7220425,-1.0,-1.0,222.0,60,429.0,-1.0,1,1.1582019848219498,1960,Post1940,RES1,2,False,1700,Average,208675.0
208955,490000,False,38.51451895,-122.7216861,527.0,1450.0,179.0,59,923.0,348.0,1,1.1582019848219498,1950,Post1940,RES1,1,True,1275,Average,159196.5
215890,517140,True,38.51371286,-122.7216639,277.0,1077.0,92.0,57,800.0,185.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Custom,271167.0
173270,426524,False,38.51312722,-122.719566,-1.0,-1.0,71.0,66,293.0,-1.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
160397,46901,True,38.51338177,-122.7203599,971.0,1310.0,236.0,63,339.0,735.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
210235,262793,False,38.5168101,-122.7215281,174.0,401.0,47.0,61,227.0,127.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
231027,354632,True,38.51344543,-122.7194239,553.0,1042.0,170.0,68,489.0,383.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
125538,212448,True,38.5119626,-122.7210296,185.0,377.0,-1.0,55,192.0,209.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
243267,453696,True,38.51412713,-122.7179385,507.0,972.0,165.0,81,465.0,342.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
13846,109814,True,38.5129612,-122.7151042,266.0,604.0,98.0,76,338.0,168.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
236718,305077,True,38.51244393,-122.7154088,-1.0,-1.0,45.0,75,157.0,-1.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
14781,88811,True,38.51292586,-122.7160945,360.0,626.0,36.0,78,266.0,324.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
16158,60286,False,38.51003768,-122.7175209,361.0,643.0,35.0,65,282.0,326.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
