LandValue,ImprovementValue,HOEX,Latitude,Longitude,TimetoApply,RepairTime,TimetoFinal,ConstructionDelay,RepairTime.1,Neighbours
39032.0,111499.0,True,39.765907,-121.581607,244,247.0,491.0,-1.0,-1.0,118
193156.0,192519.0,True,39.774558,-121.613256,244,362.0,606.0,-1.0,-1.0,116
117941.0,449670.0,False,39.736681,-121.594226,245,411.0,656.0,-1.0,-1.0,55
108653.0,242264.0,False,39.733971,-121.569936,245,410.0,655.0,-1.0,-1.0,61
98426.0,125137.0,False,39.793381,-121.58058,249,295.0,544.0,-1.0,-1.0,88
80380.0,223744.0,False,39.772769,-121.584609,249,253.0,502.0,-1.0,-1.0,125
80380.0,60340.0,False,39.782997,-121.594687,249,248.0,497.0,-1.0,-1.0,90
96261.0,391796.0,False,39.759904,-121.587907,250,279.0,529.0,-1.0,-1.0,146
107219.0,365537.0,True,39.773907,-121.589212,252,323.0,575.0,-1.0,-1.0,137
78469.0,60362.0,True,39.775685,-121.601072,252,225.0,477.0,-1.0,-1.0,136
75082.0,200509.0,True,39.777419,-121.587617,252,362.0,614.0,-1.0,-1.0,117
39670.0,67919.0,True,39.762865,-121.634633,252,368.0,620.0,-1.0,-1.0,108
40825.0,131217.0,True,39.771517,-121.60518,253,472.0,725.0,-1.0,-1.0,111
115274.0,191150.0,False,39.744503,-121.574695,253,348.0,601.0,-1.0,-1.0,77
133972.0,346124.0,True,39.757609,-121.595231,256,400.0,656.0,-1.0,-1.0,146
44196.0,153923.0,True,39.768456,-121.609169,256,262.0,518.0,-1.0,-1.0,115
92958.0,199758.0,True,39.767987,-121.576886,256,284.0,540.0,-1.0,-1.0,75
65628.0,317506.0,True,39.772961,-121.579133,256,323.0,579.0,-1.0,-1.0,91
26256.0,87117.0,True,39.780768,-121.593939,257,280.0,537.0,-1.0,-1.0,103
101373.0,148916.0,True,39.754979,-121.580225,257,399.0,656.0,-1.0,-1.0,102
57456.0,384936.0,True,39.741378,-121.647129,257,465.0,722.0,-1.0,-1.0,77
89239.0,195013.0,True,39.736405,-121.577032,258,400.0,658.0,-1.0,-1.0,77
56122.0,188020.0,True,39.771386,-121.604627,259,186.0,445.0,-1.0,-1.0,109
89239.0,386455.0,False,39.775836,-121.615474,259,452.0,711.0,-1.0,-1.0,103
115512.0,167471.0,False,39.745016,-121.626169,259,340.0,599.0,-1.0,-1.0,89
72433.0,86922.0,True,39.786338,-121.581437,259,405.0,664.0,-1.0,-1.0,98
120687.0,311891.0,True,39.739232,-121.64244,260,371.0,631.0,-1.0,-1.0,99
100788.0,111643.0,False,39.742561,-121.627127,263,269.0,532.0,-1.0,-1.0,99
55774.0,136732.0,False,39.762568,-121.619209,263,206.0,469.0,-1.0,-1.0,59
67971.0,147273.0,True,39.77101,-121.627284,263,217.0,480.0,-1.0,-1.0,120
79273.0,324976.0,True,39.754714,-121.602469,264,469.0,733.0,-1.0,-1.0,98
99861.0,198854.0,True,39.76956,-121.634178,264,288.0,552.0,-1.0,-1.0,99
79273.0,324976.0,True,39.754714,-121.602469,264,469.0,733.0,-1.0,-1.0,98
45078.0,112782.0,True,39.765537,-121.612147,264,377.0,641.0,-1.0,-1.0,95
46026.0,96580.0,True,39.774785,-121.621705,265,223.0,488.0,-1.0,-1.0,123
32526.0,116536.0,True,39.763008,-121.593356,265,231.0,496.0,-1.0,-1.0,136
14492.0,81341.0,False,39.78167,-121.59328,265,314.0,579.0,-1.0,-1.0,91
48711.0,131869.0,True,39.752453,-121.598176,265,351.0,616.0,-1.0,-1.0,121
55755.0,132125.0,True,39.759795,-121.639484,265,509.0,774.0,-1.0,-1.0,71
109208.0,195368.0,False,39.780462,-121.581573,266,287.0,553.0,-1.0,-1.0,110
114345.0,173828.0,True,39.767682,-121.592638,266,225.0,491.0,-1.0,-1.0,136
84936.0,165257.0,True,39.772506,-121.581044,266,271.0,537.0,-1.0,-1.0,103
92958.0,399180.0,True,39.759903,-121.587172,266,323.0,589.0,-1.0,-1.0,139
54395.0,89792.0,True,39.770634,-121.606874,270,154.0,424.0,-1.0,-1.0,117
25578.0,88967.0,True,39.762782,-121.578908,270,560.0,830.0,-1.0,-1.0,85
68221.0,170457.0,True,39.744169,-121.593446,270,259.0,529.0,-1.0,-1.0,119
133442.0,301704.0,True,39.765129,-121.640511,271,636.0,907.0,-1.0,-1.0,76
65628.0,317506.0,True,39.772961,-121.579133,272,307.0,579.0,-1.0,-1.0,91
72976.0,104168.0,True,39.774201,-121.592863,272,384.0,656.0,-1.0,-1.0,126
73612.0,217995.0,False,39.764498,-121.630078,273,420.0,693.0,-1.0,-1.0,135
47784.0,147907.0,True,39.75857,-121.584206,273,516.0,789.0,-1.0,-1.0,116
102000.0,122400.0,False,39.729217,-121.654553,273,361.0,634.0,-1.0,-1.0,40
105117.0,208231.0,False,39.756547,-121.595228,273,560.0,833.0,-1.0,-1.0,148
129210.0,412629.0,True,39.773114,-121.617621,274,384.0,658.0,-1.0,-1.0,115
83662.0,460524.0,False,39.737558,-121.570948,278,735.0,1013.0,-1.0,-1.0,85
34472.0,35367.0,True,39.750523,-121.588651,278,225.0,503.0,-1.0,-1.0,135
45983.0,64266.0,False,39.763536,-121.576638,278,241.0,519.0,-1.0,-1.0,64
61351.0,78085.0,False,39.754027,-121.620444,278,289.0,567.0,-1.0,-1.0,52
